given_name,family_name,institution,affiliation,position_title
Sazzad,Hassan,IUSM-SB,IU-SM,Assistant Research Professor of Surgery at IU School of Medicine-South Bend
Jenifer,Prosperi,IUSM-SB,IU-SM,Assistant Professor of Biochemistry & Molecular Biology at Indiana University School of Medicine - South Bend
Margaret,Schwarz,IUSM-SB,IU-SM,Professor of Pediatrics Indiana University School of Medicine- South Bend
Charles,Tessier,IUSM-SB,IU-SM,Assistant Research Professor at Indiana University School of Medicine-South Bend
Tracy,Vargo-Gogola,IUSM-SB,IU-SM,"Associate Professor of Clinical Anatomy, Department of Anatomy and Cell Biology at Indiana University School of Medicine - South Bend"
Urs,von Holzen,IUSM-SB,IU-SM,Associate Professor of Surgery at Indiana University School of Medicine-South Bend
Steven,Buechler,Notre Dame,MATH,Professor of Applied Computational Mathematics & Statistics at the University of Notre Dame
Ani,Aprahamian,Notre Dame,PHYS,The Frank M. Freimann Professor of Physics at the University of Notre Dame
Sylwia,Ptasinska,Notre Dame,PHYS,Associate Professor of Physics at the University of Notre Dame
Steven,Ruggiero,Notre Dame,PHYS,Professor of Physics at the University of Notre Dame
Carol,Tanner,Notre Dame,PHYS,Professor of Physics at the University of Notre Dame
Thomas,Merluzzi,Notre Dame,PSYC,"Professor, Department of Psychology at the University of Notre Dame"
